index,id,Date,City,Temperature
325,32533,21.11.2012,New York City,47.5
326,32534,22.11.2012,New York City,47.6
327,32535,23.11.2012,New York City,48.5
328,32536,24.11.2012,New York City,46.0
329,32537,25.11.2012,New York City,38.5
330,32538,26.11.2012,New York City,42.3
331,32539,27.11.2012,New York City,40.5
332,32540,28.11.2012,New York City,38.5
333,32541,29.11.2012,New York City,39.8
334,32542,30.11.2012,New York City,43.0
335,32543,01.12.2012,New York City,39.5
336,32544,02.12.2012,New York City,44.3
337,32545,03.12.2012,New York City,53.9
338,32546,04.12.2012,New York City,51.4
339,32547,05.12.2012,New York City,53.0
340,32548,06.12.2012,New York City,36.7
341,32549,07.12.2012,New York City,40.9
342,32550,08.12.2012,New York City,46.9
343,32551,09.12.2012,New York City,47.5
344,32552,10.12.2012,New York City,50.6
345,32553,11.12.2012,New York City,49.8
346,32554,12.12.2012,New York City,41.7
347,32555,13.12.2012,New York City,41.8
348,32556,14.12.2012,New York City,42.9
349,32557,15.12.2012,New York City,44.0
350,32558,16.12.2012,New York City,44.2
351,32559,17.12.2012,New York City,42.8
352,32560,18.12.2012,New York City,47.3
353,32561,19.12.2012,New York City,45.4
354,32562,20.12.2012,New York City,40.7
355,32563,21.12.2012,New York City,48.3
356,32564,22.12.2012,New York City,38.4
357,32565,23.12.2012,New York City,39.3
358,32566,24.12.2012,New York City,38.8
359,32567,25.12.2012,New York City,37.5
360,32568,26.12.2012,New York City,33.2
361,32569,27.12.2012,New York City,39.1
362,32570,28.12.2012,New York City,33.8
363,32571,29.12.2012,New York City,33.5
364,32572,30.12.2012,New York City,33.5
365,32573,31.12.2012,New York City,33.0
